basic-on-0a	basic	onyomi	0	ぜろ	숫자 0 (ゼロ)	
basic-on-0b	basic	onyomi	0	れい	숫자 0 (れい, 격식체)	
basic-on-1	basic	onyomi	1	いち	숫자 1	
basic-on-2	basic	onyomi	2	に	숫자 2	
basic-on-3	basic	onyomi	3	さん	숫자 3	
basic-on-4a	basic	onyomi	4	よん	숫자 4 (よん)	
basic-on-4b	basic	onyomi	4	し	숫자 4 (し)	
basic-on-5	basic	onyomi	5	ご	숫자 5	
basic-on-6	basic	onyomi	6	ろく	숫자 6	
basic-on-7a	basic	onyomi	7	なな	숫자 7 (なな)	
basic-on-7b	basic	onyomi	7	しち	숫자 7 (しち)	
basic-on-8	basic	onyomi	8	はち	숫자 8	
basic-on-9a	basic	onyomi	9	きゅう	숫자 9 (きゅう)	
basic-on-9b	basic	onyomi	9	く	숫자 9 (く)	
basic-on-10	basic	onyomi	10	じゅう	숫자 10	
basic-on-100	basic	onyomi	100	ひゃく	숫자 100 (백)	
basic-on-1000	basic	onyomi	1000	せん	숫자 1000 (천)	
basic-on-10000	basic	onyomi	10000	いちまん	숫자 10000 (1만)	
basic-on-100000000	basic	onyomi	100000000	いちおく	숫자 100000000 (1억)	
basic-on-1000000000000	basic	onyomi	1000000000000	いっちょう	숫자 1000000000000 (1조)	촉음화: いち+ちょう→いっちょう
wago-1	wago	native	1	ひとつ	물건 1개(고유어)	
wago-2	wago	native	2	ふたつ	물건 2개(고유어)	
wago-3	wago	native	3	みっつ	물건 3개(고유어)	
wago-4	wago	native	4	よっつ	물건 4개(고유어)	
wago-5	wago	native	5	いつつ	물건 5개(고유어)	
wago-6	wago	native	6	むっつ	물건 6개(고유어)	
wago-7	wago	native	7	ななつ	물건 7개(고유어)	
wago-8	wago	native	8	やっつ	물건 8개(고유어)	
wago-9	wago	native	9	ここのつ	물건 9개(고유어)	
wago-10	wago	native	10	とお	물건 10개(고유어)	
wago-ikutsu	wago	native	いくつ(개수)	いくつ	몇 개?	
wago-hatachi	wago	native	20歳	はたち	스무 살 (20세, 불규칙)	はたち는 20세 전용 불규칙 표현
place-juu-10	place	juu	10	じゅう	10 (십)	
place-juu-20	place	juu	20	にじゅう	20 (이십)	
place-juu-30	place	juu	30	さんじゅう	30 (삼십)	
place-juu-40	place	juu	40	よんじゅう	40 (사십)	
place-juu-50	place	juu	50	ごじゅう	50 (오십)	
place-juu-60	place	juu	60	ろくじゅう	60 (육십)	
place-juu-70	place	juu	70	ななじゅう	70 (칠십)	
place-juu-80	place	juu	80	はちじゅう	80 (팔십)	
place-juu-90	place	juu	90	きゅうじゅう	90 (구십)	
place-hyaku-100	place	hyaku	100	ひゃく	100 (백)	
place-hyaku-200	place	hyaku	200	にひゃく	200 (이백)	
place-hyaku-300	place	hyaku	300	さんびゃく	300 (삼백)	탁음화: ひゃく→びゃく
place-hyaku-400	place	hyaku	400	よんひゃく	400 (사백)	
place-hyaku-500	place	hyaku	500	ごひゃく	500 (오백)	
place-hyaku-600	place	hyaku	600	ろっぴゃく	600 (육백)	촉음화+반탁음화: ろく+ひゃく→ろっぴゃく
place-hyaku-700	place	hyaku	700	ななひゃく	700 (칠백)	
place-hyaku-800	place	hyaku	800	はっぴゃく	800 (팔백)	촉음화+반탁음화: はち+ひゃく→はっぴゃく
place-hyaku-900	place	hyaku	900	きゅうひゃく	900 (구백)	
place-sen-1000	place	sen	1000	せん	1000 (천)	
place-sen-2000	place	sen	2000	にせん	2000 (이천)	
place-sen-3000	place	sen	3000	さんぜん	3000 (삼천)	탁음화: せん→ぜん
place-sen-4000	place	sen	4000	よんせん	4000 (사천)	
place-sen-5000	place	sen	5000	ごせん	5000 (오천)	
place-sen-6000	place	sen	6000	ろくせん	6000 (육천)	
place-sen-7000	place	sen	7000	ななせん	7000 (칠천)	
place-sen-8000	place	sen	8000	はっせん	8000 (팔천)	촉음화: はち+せん→はっせん
place-sen-9000	place	sen	9000	きゅうせん	9000 (구천)	
place-man-10000	place	man	10000	いちまん	10000 (1만)	
place-man-20000	place	man	20000	にまん	20000 (2만)	
place-man-30000	place	man	30000	さんまん	30000 (3만)	
place-man-40000	place	man	40000	よんまん	40000 (4만)	
place-man-50000	place	man	50000	ごまん	50000 (5만)	
place-man-60000	place	man	60000	ろくまん	60000 (6만)	
place-man-70000	place	man	70000	ななまん	70000 (7만)	
place-man-80000	place	man	80000	はちまん	80000 (8만)	
place-man-90000	place	man	90000	きゅうまん	90000 (9만)	
age-1	age	sai	1歳	いっさい	1세	촉음화: いち+さい→いっさい
age-2	age	sai	2歳	にさい	2세	
age-3	age	sai	3歳	さんさい	3세	
age-4	age	sai	4歳	よんさい	4세	
age-5	age	sai	5歳	ごさい	5세	
age-6	age	sai	6歳	ろくさい	6세	
age-7	age	sai	7歳	ななさい	7세	
age-8	age	sai	8歳	はっさい	8세	촉음화: はち+さい→はっさい
age-9	age	sai	9歳	きゅうさい	9세	
age-10	age	sai	10歳	じゅっさい	10세	じっさい도 가능(전통적 표기)
age-30	age	sai	30歳	さんじゅっさい	30세	촉음화: じゅう+さい→じゅっさい
age-40	age	sai	40歳	よんじゅっさい	40세	촉음화: じゅう+さい→じゅっさい
age-50	age	sai	50歳	ごじゅっさい	50세	촉음화: じゅう+さい→じゅっさい
age-60	age	sai	60歳	ろくじゅっさい	60세	촉음화: じゅう+さい→じゅっさい
age-70	age	sai	70歳	ななじゅっさい	70세	촉음화: じゅう+さい→じゅっさい
age-80	age	sai	80歳	はちじゅっさい	80세	촉음화: じゅう+さい→じゅっさい
age-90	age	sai	90歳	きゅうじゅっさい	90세	촉음화: じゅう+さい→じゅっさい
age-100	age	sai	100歳	ひゃくさい	100세	
age-nansai	age	sai	何歳	なんさい	몇 살?	
date-day-1	date	day	1日	ついたち	1일	고유 훈독(불규칙)
date-day-2	date	day	2日	ふつか	2일	고유 훈독(불규칙)
date-day-3	date	day	3日	みっか	3일	고유 훈독(불규칙)
date-day-4	date	day	4日	よっか	4일	고유 훈독(불규칙)
date-day-5	date	day	5日	いつか	5일	고유 훈독(불규칙)
date-day-6	date	day	6日	むいか	6일	고유 훈독(불규칙)
date-day-7	date	day	7日	なのか	7일	고유 훈독(불규칙)
date-day-8	date	day	8日	ようか	8일	고유 훈독(불규칙)
date-day-9	date	day	9日	ここのか	9일	고유 훈독(불규칙)
date-day-10	date	day	10日	とおか	10일	고유 훈독(불규칙)
date-day-11	date	day	11日	じゅういちにち	11일	
date-day-12	date	day	12日	じゅうににち	12일	
date-day-13	date	day	13日	じゅうさんにち	13일	
date-day-14	date	day	14日	じゅうよっか	14일	고유 훈독(불규칙)
date-day-15	date	day	15日	じゅうごにち	15일	
date-day-16	date	day	16日	じゅうろくにち	16일	
date-day-17	date	day	17日	じゅうしちにち	17일	しち로 읽음(なな 아님)
date-day-18	date	day	18日	じゅうはちにち	18일	
date-day-19	date	day	19日	じゅうくにち	19일	く로 읽음(きゅう 아님)
date-day-20	date	day	20日	はつか	20일	고유 훈독(불규칙)
date-day-21	date	day	21日	にじゅういちにち	21일	
date-day-22	date	day	22日	にじゅうににち	22일	
date-day-23	date	day	23日	にじゅうさんにち	23일	
date-day-24	date	day	24日	にじゅうよっか	24일	고유 훈독(불규칙)
date-day-25	date	day	25日	にじゅうごにち	25일	
date-day-26	date	day	26日	にじゅうろくにち	26일	
date-day-27	date	day	27日	にじゅうしちにち	27일	
date-day-28	date	day	28日	にじゅうはちにち	28일	
date-day-29	date	day	29日	にじゅうくにち	29일	
date-day-30	date	day	30日	さんじゅうにち	30일	
date-day-31	date	day	31日	さんじゅういちにち	31일	
date-day-nan	date	day	何日	なんにち	며칠?/몇 일?	
date-month-1	date	month	1月	いちがつ	1월	
date-month-2	date	month	2月	にがつ	2월	
date-month-3	date	month	3月	さんがつ	3월	
date-month-4	date	month	4月	しがつ	4월	불규칙 발음
date-month-5	date	month	5月	ごがつ	5월	
date-month-6	date	month	6月	ろくがつ	6월	
date-month-7	date	month	7月	しちがつ	7월	불규칙 발음
date-month-8	date	month	8月	はちがつ	8월	
date-month-9	date	month	9月	くがつ	9월	불규칙 발음
date-month-10	date	month	10月	じゅうがつ	10월	
date-month-11	date	month	11月	じゅういちがつ	11월	
date-month-12	date	month	12月	じゅうにがつ	12월	
date-month-nan	date	month	何月	なんがつ	몇 월?	
date-weekday-mon	date	weekday	月曜日	げつようび	월요일	
date-weekday-tue	date	weekday	火曜日	かようび	화요일	
